URL,date,isCancelled,name,place,meetingUrl,year
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,3/03,,Campionati Regionali Molise,Campodipietra (CB),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135400:campionati-regionali-master-molise.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,3/03,,14° Trofeo Master Seregno,Seregno (MB),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134517:14%C2%B0-trofeo-master-seregno-memorial-marica-camoni.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,3/03,,18° Coppa Immota Manet,L'Aquila,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135473:18%C2%B0-coppa-immota-manet.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,3/03,,2° Trofeo Casa di Caccia,Monastier (TV),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134964:2%C2%B0-trofeo-casa-di-caccia.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,9/03,,34° Brixia Fidelis,Brescia,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134520:34%C2%B0-brixia-fidelis.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,10/03,,8° Trofeo Latina Aquateam,Pomezia (RM),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134480:8%C2%B0-trofeo-latina-aquateam.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,17/03,,12° Trofeo Aquarius Piscina Canosa,Canosa di Puglia (BT),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135397:12%C2%B0-trofeo-aquarius-piscina-canosa.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,17/03,,Trofeo Catania Master,Catania,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135641:trofeo-catania-master.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,17/03,,13° Trofeo Master Balnaea,Battipaglia (SA),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134481:13%C2%B0-trofeo-master-balnaea.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,17/03,,9° Trofeo Buonconsiglio,Trento,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134461:9%C2%B0-trofeo-buonconsiglio-nuoto.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,17/03,,19° Trofeo Nuovo Nuoto,Mirandola (MO),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134413:19%C2%B0-trofeo-nuovo-nuoto.html,"2019"
